input,label,split
test_0,0,test
test_1001,0,test
test_10010,0,test
test_1002,0,test
test_10021,0,test
test_1003,0,test
test_10039,0,test
test_1004,0,test
test_10046,0,test
test_1005,0,test
test_10055,0,test
test_10066,0,test
test_1007,0,test
test_10078,0,test
test_10084,0,test
test_1009,0,test
test_101,0,test
test_1011,0,test
test_1013,0,test
test_1014,0,test
test_10147,0,test
test_1017,0,test
test_10176,0,test
test_1018,0,test
test_10185,0,test
test_10188,0,test
test_1019,0,test
test_10199,0,test
test_1021,0,test
test_10221,0,test
test_10223,0,test
test_10228,0,test
test_1023,0,test
test_10231,0,test
test_10238,0,test
test_10249,0,test
test_1025,0,test
test_10258,0,test
test_10262,0,test
test_10263,0,test
test_10266,0,test
test_10267,0,test
test_1027,0,test
test_10274,0,test
test_10276,0,test
test_10277,0,test
test_1028,0,test
test_10282,0,test
test_10283,0,test
test_10285,0,test
test_10286,0,test
test_10287,0,test
test_10288,0,test
test_10289,0,test
test_10291,0,test
test_10292,0,test
test_10293,0,test
test_10294,0,test
test_10295,0,test
test_10296,0,test
test_10297,0,test
test_10298,0,test
test_10299,0,test
test_103,0,test
test_1030,0,test
test_10300,0,test
test_10301,0,test
test_10302,0,test
test_10303,0,test
test_10304,0,test
test_10305,0,test
test_10306,0,test
test_10307,0,test
test_10308,0,test
test_10309,0,test
test_1031,0,test
test_10310,0,test
test_10311,0,test
test_10312,0,test
test_10313,0,test
test_10314,0,test
test_10315,0,test
test_10316,0,test
test_10317,0,test
test_10318,0,test
test_10319,0,test
test_1032,0,test
test_10320,0,test
test_10321,0,test
test_10322,0,test
test_10323,0,test
test_10324,0,test
test_10325,0,test
test_10326,0,test
test_10327,0,test
test_10328,0,test
test_10329,0,test
test_1033,0,test
test_10330,0,test
test_10331,0,test
test_10332,0,test
test_10333,0,test
test_10334,0,test
test_10335,0,test
test_10336,0,test
test_10337,0,test
test_10338,0,test
test_10339,0,test
test_1034,0,test
test_10340,0,test
test_10341,0,test
test_10342,0,test
test_10343,0,test
test_10344,0,test
test_10345,0,test
test_10346,0,test
test_10347,0,test
test_10348,0,test
test_10349,0,test
test_10350,0,test
test_10351,0,test
test_10352,0,test
test_10353,0,test
test_10354,0,test
test_10355,0,test
test_10356,0,test
test_10357,0,test
test_10358,0,test
test_10359,0,test
test_1036,0,test
test_10360,0,test
test_10361,0,test
test_10362,0,test
test_10363,0,test
test_10364,0,test
test_10365,0,test
test_10366,0,test
test_10367,0,test
test_10368,0,test
test_10369,0,test
test_10370,0,test
test_10371,0,test
test_10372,0,test
test_10373,0,test
test_10374,0,test
test_10375,0,test
test_10376,0,test
test_10377,0,test
test_10378,0,test
test_10379,0,test
test_1038,0,test
test_10380,0,test
test_10381,0,test
test_10382,0,test
test_10383,0,test
test_10384,0,test
test_10385,0,test
test_10386,0,test
test_10387,0,test
test_10388,0,test
test_10389,0,test
test_10390,0,test
test_10391,0,test
test_10392,0,test
test_10393,0,test
test_10394,0,test
test_10395,0,test
test_10396,0,test
test_10397,0,test
test_10398,0,test
test_10399,0,test
test_1040,0,test
test_10400,0,test
test_10401,0,test
test_10402,0,test
test_10403,0,test
test_10404,0,test
test_10405,0,test
test_10406,0,test
test_10407,0,test
test_10408,0,test
test_10409,0,test
test_1041,0,test
test_10410,0,test
test_10411,0,test
test_10412,0,test
test_10413,0,test
test_10414,0,test
test_10415,0,test
test_10416,0,test
test_10417,0,test
test_10418,0,test
test_10419,0,test
test_1042,0,test
test_10420,0,test
test_10421,0,test
test_10422,0,test
test_10423,0,test
test_10424,0,test
test_10425,0,test
test_10426,0,test
test_10427,0,test
test_10428,0,test
test_10429,0,test
test_10430,0,test
test_10431,0,test
test_10432,0,test
test_10433,0,test
test_10434,0,test
test_10435,0,test
test_10436,0,test
test_10437,0,test
test_10438,0,test
test_10439,0,test
test_1044,0,test
test_10440,0,test
test_10441,0,test
test_10442,0,test
