,file_name,label
0,BRACS_264.svs,BT
5,BRACS_286.svs,MT
8,BRACS_292.svs,MT
12,BRACS_300.svs,AT
13,BRACS_301.svs,MT
14,BRACS_305.svs,MT
15,BRACS_310.svs,MT
42,BRACS_1228.svs,AT
76,BRACS_1283.svs,MT
77,BRACS_1284.svs,MT
78,BRACS_1286.svs,MT
96,BRACS_1330.svs,BT
97,BRACS_1334.svs,BT
130,BRACS_1411.svs,MT
131,BRACS_1412.svs,BT
132,BRACS_1413.svs,MT
133,BRACS_1414.svs,MT
134,BRACS_1416.svs,BT
137,BRACS_1473.svs,MT
138,BRACS_1474.svs,MT
139,BRACS_1476.svs,MT
159,BRACS_1503.svs,AT
171,BRACS_1578.svs,MT
172,BRACS_1579.svs,BT
173,BRACS_1580.svs,MT
179,BRACS_1587.svs,MT
180,BRACS_1588.svs,MT
181,BRACS_1589.svs,AT
182,BRACS_1590.svs,MT
189,BRACS_1597.svs,MT
190,BRACS_1598.svs,BT
191,BRACS_1599.svs,BT
192,BRACS_1601.svs,BT
193,BRACS_1602.svs,MT
207,BRACS_1619.svs,BT
275,BRACS_1813.svs,AT
276,BRACS_1814.svs,AT
279,BRACS_1817.svs,MT
280,BRACS_1820.svs,BT
281,BRACS_1821.svs,BT
282,BRACS_1823.svs,MT
283,BRACS_1824.svs,BT
284,BRACS_1825.svs,AT
285,BRACS_1826.svs,MT
301,BRACS_1842.svs,BT
302,BRACS_1843.svs,BT
303,BRACS_1844.svs,AT
304,BRACS_1845.svs,BT
305,BRACS_1846.svs,BT
306,BRACS_1847.svs,BT
307,BRACS_1848.svs,BT
308,BRACS_1849.svs,AT
309,BRACS_1850.svs,BT
310,BRACS_1851.svs,BT
311,BRACS_1852.svs,BT
312,BRACS_1853.svs,BT
313,BRACS_1855.svs,BT
314,BRACS_1856.svs,AT
324,BRACS_1867.svs,MT
326,BRACS_1870.svs,BT
328,BRACS_1872.svs,MT
334,BRACS_1878.svs,MT
344,BRACS_1892.svs,AT
346,BRACS_1895.svs,AT
347,BRACS_1896.svs,BT
348,BRACS_1897.svs,MT
356,BRACS_1906.svs,BT
357,BRACS_1908.svs,MT
358,BRACS_1910.svs,MT
384,BRACS_1936.svs,AT
385,BRACS_1937.svs,AT
386,BRACS_1938.svs,AT
387,BRACS_1940.svs,BT
388,BRACS_1941.svs,AT
389,BRACS_1942.svs,BT
390,BRACS_1943.svs,AT
391,BRACS_1944.svs,AT
392,BRACS_1945.svs,MT
398,BRACS_1952.svs,BT
400,BRACS_1954.svs,AT
401,BRACS_1955.svs,AT
445,BRACS_2007.svs,AT
491,BRACS_3322.svs,BT
492,BRACS_3323.svs,MT
493,BRACS_3324.svs,BT
515,BRACS_1003691.svs,AT
518,BRACS_1003694.svs,AT
