,file_name,label
0,BRACS_264.svs,PB
5,BRACS_286.svs,IC
8,BRACS_292.svs,IC
12,BRACS_300.svs,FEA
13,BRACS_301.svs,IC
14,BRACS_305.svs,IC
15,BRACS_310.svs,IC
42,BRACS_1228.svs,ADH
76,BRACS_1283.svs,DCIS
77,BRACS_1284.svs,IC
78,BRACS_1286.svs,IC
96,BRACS_1330.svs,PB
97,BRACS_1334.svs,UDH
130,BRACS_1411.svs,IC
131,BRACS_1412.svs,PB
132,BRACS_1413.svs,IC
133,BRACS_1414.svs,IC
134,BRACS_1416.svs,UDH
137,BRACS_1473.svs,DCIS
138,BRACS_1474.svs,DCIS
139,BRACS_1476.svs,DCIS
159,BRACS_1503.svs,ADH
171,BRACS_1578.svs,IC
172,BRACS_1579.svs,N
173,BRACS_1580.svs,IC
179,BRACS_1587.svs,IC
180,BRACS_1588.svs,DCIS
181,BRACS_1589.svs,ADH
182,BRACS_1590.svs,IC
189,BRACS_1597.svs,DCIS
190,BRACS_1598.svs,N
191,BRACS_1599.svs,N
192,BRACS_1601.svs,N
193,BRACS_1602.svs,DCIS
207,BRACS_1619.svs,UDH
275,BRACS_1813.svs,FEA
276,BRACS_1814.svs,FEA
279,BRACS_1817.svs,IC
280,BRACS_1820.svs,N
281,BRACS_1821.svs,UDH
282,BRACS_1823.svs,IC
283,BRACS_1824.svs,UDH
284,BRACS_1825.svs,ADH
285,BRACS_1826.svs,IC
301,BRACS_1842.svs,PB
302,BRACS_1843.svs,PB
303,BRACS_1844.svs,ADH
304,BRACS_1845.svs,PB
305,BRACS_1846.svs,PB
306,BRACS_1847.svs,PB
307,BRACS_1848.svs,UDH
308,BRACS_1849.svs,ADH
309,BRACS_1850.svs,PB
310,BRACS_1851.svs,PB
311,BRACS_1852.svs,PB
312,BRACS_1853.svs,UDH
313,BRACS_1855.svs,N
314,BRACS_1856.svs,ADH
324,BRACS_1867.svs,DCIS
326,BRACS_1870.svs,PB
328,BRACS_1872.svs,DCIS
334,BRACS_1878.svs,DCIS
344,BRACS_1892.svs,ADH
346,BRACS_1895.svs,ADH
347,BRACS_1896.svs,UDH
348,BRACS_1897.svs,DCIS
356,BRACS_1906.svs,PB
357,BRACS_1908.svs,IC
358,BRACS_1910.svs,IC
384,BRACS_1936.svs,FEA
385,BRACS_1937.svs,FEA
386,BRACS_1938.svs,ADH
387,BRACS_1940.svs,PB
388,BRACS_1941.svs,FEA
389,BRACS_1942.svs,PB
390,BRACS_1943.svs,FEA
391,BRACS_1944.svs,FEA
392,BRACS_1945.svs,DCIS
398,BRACS_1952.svs,UDH
400,BRACS_1954.svs,FEA
401,BRACS_1955.svs,FEA
445,BRACS_2007.svs,FEA
491,BRACS_3322.svs,N
492,BRACS_3323.svs,IC
493,BRACS_3324.svs,PB
515,BRACS_1003691.svs,ADH
518,BRACS_1003694.svs,ADH
